doc	status	ref	resolved
PLAN_v5.md	OK	MonsterEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\MonsterEntityBase.cs
PLAN_v5.md	OK	NPCEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\NPCEntityBase.cs
PLAN_v5.md	OK	ObstacleBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\ObstacleBase.cs
PLAN_v5.md	OK	OutLifeEntityViewBase.cs	Assets\Scripts\StarGame\Game\Entity\View\OutLifeEntity\OutLifeEntityViewBase.cs
PLAN_v5.md	OK	ParalysisBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ParalysisBuffEffect.cs
PLAN_v5.md	OK	PartnerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PartnerCtrlGroup.cs
PLAN_v5.md	OK	PartnerEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\PartnerEntityBase.cs
PLAN_v5.md	OK	PartnerManager.cs	Assets\Scripts\StarGame\Game\Partner\PartnerManager.cs
PLAN_v5.md	OK	PassiveInfo.cs	Assets\Scripts\StarGame\Game\Skill\Passive\PassiveInfo.cs
PLAN_v5.md	OK	PassiveSkillEntity.cs	Assets\Scripts\StarGame\Game\Skill\PassiveSkillEntity.cs
PLAN_v5.md	OK	PassiveStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Passive\PassiveStageHandle.cs
PLAN_v5.md	OK	PCEnityAI.cs	Assets\Scripts\StarGame\Game\Player\Component\PCEnityAI.cs
PLAN_v5.md	OK	PlayerComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\PlayerComponent.cs
PLAN_v5.md	OK	PlayerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PlayerCtrlGroup.cs
PLAN_v5.md	MISSING	PlayerManager.cs	
PLAN_v5.md	OK	PowerAllData.cs	Assets\Scripts\StarGame\Game\Skill\Power\PowerAllData.cs
PLAN_v5.md	OK	PowerBigDataModule.cs	Assets\Scripts\StarGame\Game\Skill\Power\PowerBigDataModule.cs
PLAN_v5.md	OK	PowerDataModule.cs	Assets\Scripts\StarGame\Game\Skill\Power\PowerDataModule.cs
PLAN_v5.md	OK	PowerSubDataModule.cs	Assets\Scripts\StarGame\Game\Skill\Power\PowerSubDataModule.cs
PLAN_v5.md	OK	RawCamera.cs	Assets\Scripts\StarGame\Game\StarsCamera\RawCamera.cs
PLAN_v5.md	OK	Recycler.cs	Assets\Scripts\StarGame\Game\Entity\Factory\Recycler.cs
PLAN_v5.md	OK	RenderManager.cs	Assets\Scripts\StarGame\Game\RenderManager.cs
PLAN_v5.md	OK	SceneAreaLogic.cs	Assets\Scripts\StarGame\Game\Map\SceneAreaLogic.cs
PLAN_v5.md	OK	SceneJsonData.cs	Assets\Scripts\StarGame\Game\Map\SceneJsonData.cs
PLAN_v5.md	OK	SceneObstacleLogic.cs	Assets\Scripts\StarGame\Game\Map\SceneObstacleLogic.cs
PLAN_v5.md	OK	ScreenTouchEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\ScreenTouchEffect.cs
PLAN_v5.md	OK	SerMessageSnapData.cs	Assets\Scripts\StarGame\Game\SnapShot\SerMessageSnapData.cs
PLAN_v5.md	OK	SerNttAOIOneFrameSnapALLDataMainPlayer.cs	Assets\Scripts\StarGame\Game\SnapShot\SerNttAOIOneFrameSnapALLDataMainPlayer.cs
PLAN_v5.md	OK	SerNttAOIOneFrameSnapALLDataTHD.cs	Assets\Scripts\StarGame\Game\SnapShot\SerNttAOIOneFrameSnapALLDataTHD.cs
PLAN_v5.md	OK	SerRPCOneFrameSnapALLData.cs	Assets\Scripts\StarGame\Game\SnapShot\SerRPCOneFrameSnapALLData.cs
PLAN_v5.md	OK	SerSnapshotSeqManager.cs	Assets\Scripts\StarGame\Game\SnapShot\SerSnapshotSeqManager.cs
PLAN_v5.md	OK	ServerControlStageEntityBase.cs	Assets\Scripts\StarGame\Game\Skill\Base\ServerControlStageEntityBase.cs
PLAN_v5.md	OK	ServerPowerData.cs	Assets\Scripts\StarGame\Game\Skill\Power\ServerPowerData.cs
PLAN_v5.md	OK	ServiceSnapshotData.cs	Assets\Scripts\StarGame\Game\SnapShot\ServiceSnapshotData.cs
PLAN_v5.md	OK	ShaderChange2.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ShaderChange2.cs
PLAN_v5.md	OK	ShadowFollowBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ShadowFollowBuffEffect.cs
PLAN_v5.md	OK	SimpleDataFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\SimpleDataFactory.cs
PLAN_v5.md	OK	SimpleDataObject.cs	Assets\Scripts\StarGame\Game\Entity\Factory\SimpleDataObject.cs
PLAN_v5.md	OK	SimulateSummonEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\SimulateSummonEffect.cs
PLAN_v5.md	OK	SkillBlackBoard.cs	Assets\Scripts\StarGame\Game\Skill\SkillBlackBoard.cs
PLAN_v5.md	OK	SkillBuff.cs	Assets\Scripts\StarGame\Game\Skill\Buff\SkillBuff.cs
PLAN_v5.md	OK	SkillBullet.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\SkillBullet.cs
PLAN_v5.md	OK	SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
PLAN_v5.md	OK	SkillContainer.cs	Assets\Scripts\StarGame\Game\Skill\SkillContainer.cs
PLAN_v5.md	OK	SkillController.cs	Assets\Scripts\StarGame\Game\Skill\SkillController.cs
PLAN_v5.md	OK	SkillControllerBasePartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerBasePartial.cs
PLAN_v5.md	OK	SkillControllerBuffPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerBuffPartial.cs
PLAN_v5.md	OK	SkillControllerBulletPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerBulletPartial.cs
PLAN_v5.md	OK	SkillControllerEffectPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerEffectPartial.cs
PLAN_v5.md	OK	SkillControllerMsgPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerMsgPartial.cs
PLAN_v5.md	OK	SkillControllerPassivePartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerPassivePartial.cs
PLAN_v5.md	OK	SkillControllerSkillPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerSkillPartial.cs
PLAN_v5.md	OK	SkillControllerUserInputPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerUserInputPartial.cs
PLAN_v5.md	OK	SkillDispatcher.cs	Assets\Scripts\StarGame\Game\Skill\SkillDispatcher.cs
PLAN_v5.md	OK	SkillEffectParam.cs	Assets\Scripts\StarGame\Game\Skill\SkillEffectParam.cs
PLAN_v5.md	OK	SkillEntity.cs	Assets\Scripts\StarGame\Game\Skill\SkillEntity.cs
PLAN_v5.md	OK	SkillEntityActionPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityActionPartial.cs
PLAN_v5.md	OK	SkillEntityCfgPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityCfgPartial.cs
PLAN_v5.md	OK	SkillEntityDebugDataPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityDebugDataPartial.cs
PLAN_v5.md	OK	SkillEntityUserInputPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityUserInputPartial.cs
PLAN_v5.md	OK	SkillIndicator.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillIndicator.cs
PLAN_v5.md	OK	SkillInfo.cs	Assets\Scripts\StarGame\Game\Skill\SkillInfo.cs
PLAN_v5.md	OK	SkillInputCache.cs	Assets\Scripts\StarGame\Game\Skill\SkillInputCache.cs
PLAN_v5.md	OK	SkillMsgUtils.cs	Assets\Scripts\StarGame\Game\Skill\Utils\SkillMsgUtils.cs
PLAN_v5.md	OK	SkillStage.cs	Assets\Scripts\StarGame\Game\Skill\SkillStage.cs
PLAN_v5.md	OK	SkillStageFrame.cs	Assets\Scripts\StarGame\Game\Skill\SkillStageFrame.cs
PLAN_v5.md	OK	SkillUnitController.cs	Assets\Scripts\StarGame\Game\Skill\SkillUnitController.cs
PLAN_v5.md	OK	SkillUtils.cs	Assets\Scripts\StarGame\Game\Skill\Utils\SkillUtils.cs
PLAN_v5.md	OK	SkillWheelInfo.cs	Assets\Scripts\StarGame\Game\Skill\SkillWheelInfo.cs
PLAN_v5.md	OK	SnapShotUtils.cs	Assets\Scripts\StarGame\Game\SnapShot\SnapShotUtils.cs
PLAN_v5.md	OK	SpectralChangeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\SpectralChangeEffect.cs
PLAN_v5.md	OK	SpectralSkillBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\SpectralSkillBuffEffect.cs
PLAN_v5.md	OK	StageHandle.cs	Assets\Scripts\StarGame\Game\Skill\StageHandle.cs
PLAN_v5.md	OK	StageInfo.cs	Assets\Scripts\StarGame\Game\Skill\StageInfo.cs
PLAN_v5.md	OK	StageSkipData.cs	Assets\Scripts\StarGame\Game\Skill\Base\StageSkipData.cs
PLAN_v5.md	OK	StarShadowFollow.cs	Assets\Scripts\StarGame\Game\SpecialUtilComp\StarShadowFollow.cs
PLAN_v5.md	OK	StarShadowMirror.cs	Assets\Scripts\StarGame\Game\SpecialUtilComp\StarShadowMirror.cs
PLAN_v5.md	OK	Stone.cs	Assets\Scripts\StarGame\Game\Entity\Static\Stone.cs
PLAN_v5.md	OK	SummonCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\SummonCtrlGroup.cs
PLAN_v5.md	OK	SummonEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\SummonEntityBase.cs
PLAN_v5.md	OK	SummonView.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\SummonView.cs
PLAN_v5.md	OK	SwitchEnemyBtn.cs	Assets\Scripts\StarGame\Game\Skill\AutoBattle\SwitchEnemyBtn.cs
PLAN_v5.md	OK	TestBuff.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\TestBuff.cs
PLAN_v5.md	OK	TimeLineFrameEvent.cs	Assets\Scripts\StarGame\Game\Skill\Base\TimeLineFrameEvent.cs
PLAN_v5.md	OK	TimeLineStage.cs	Assets\Scripts\StarGame\Game\Skill\Base\TimeLineStage.cs
PLAN_v5.md	OK	TimeLineStageInfos.cs	Assets\Scripts\StarGame\Game\Skill\TimeLineStageInfos.cs
PLAN_v5.md	OK	Touch2UseSkillEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\Touch2UseSkillEffect.cs
PLAN_v5.md	OK	TranslucentEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\TranslucentEffect.cs
PLAN_v5.md	OK	TreasureBoxEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\TreasureBoxEntity.cs
PLAN_v5.md	OK	TreasureBoxView.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\TreasureBoxView.cs
PLAN_v5.md	OK	TriggerTypeEffectData.cs	Assets\Scripts\StarGame\Game\TypeEffect\TriggerTypeEffectData.cs
PLAN_v5.md	OK	TriggleEventUtils.cs	Assets\Scripts\StarGame\Game\TypeEffect\TriggleEventUtils.cs
PLAN_v5.md	OK	TypeEffectFactory.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\TypeEffectFactory.cs
PLAN_v5.md	OK	UICamera.cs	Assets\Scripts\StarGame\Game\StarsCamera\UICamera.cs
PLAN_v5.md	OK	UnitPendant.cs	Assets\Scripts\StarGame\Game\Player\Component\UnitPendant.cs
PLAN_v5.md	OK	UpdateFrame.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Example\UpdateFrame.cs
PLAN_v5.md	OK	ViewAOI.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewAOI.cs
PLAN_v5.md	OK	ViewFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\ViewFactory.cs
PLAN_v5.md	OK	ViewInterActionObject.cs	Assets\Scripts\StarGame\Game\Entity\View\OutLifeEntity\ViewInterActionObject.cs
PLAN_v5.md	OK	ViewInterctive.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\ViewInterctive.cs
PLAN_v5.md	OK	ViewLocal.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\Base\ViewLocal.cs
PLAN_v5.md	OK	ViewLocalDynamic.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\Base\ViewLocalDynamic.cs
PLAN_v5.md	OK	ViewLocalStatic.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\Base\ViewLocalStatic.cs
PLAN_v5.md	OK	ViewModel.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewModel.cs
PLAN_v5.md	OK	ViewObject.cs	Assets\Scripts\StarGame\Game\Entity\Factory\ViewObject.cs
PLAN_v5.md	OK	ViewObjectNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\OutLifeEntity\ViewObjectNormal.cs
PLAN_v5.md	OK	ViewVitalAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalAnim.cs
PLAN_v5.md	OK	ViewVitalGameNPCAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalGameNPCAnim.cs
PLAN_v5.md	OK	ViewVitalGameNPCNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalGameNPCNormal.cs
PLAN_v5.md	OK	ViewVitalHeroNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalHeroNormal.cs
PLAN_v5.md	OK	ViewVitalMonsterAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalMonsterAnim.cs
PLAN_v5.md	OK	ViewVitalMonsterNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalMonsterNormal.cs
PLAN_v5.md	OK	ViewVitalNPCNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewVitalNPCNormal.cs
PLAN_v5.md	OK	ViewVitalObjectAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\OutLifeEntity\ViewVitalObjectAnim.cs
PLAN_v5.md	OK	ViewVitalPartnerAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalPartnerAnim.cs
PLAN_v5.md	OK	ViewVitalPartnerNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalPartnerNormal.cs
PLAN_v5.md	OK	ViewVitalSummonAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalSummonAnim.cs
PLAN_v5.md	OK	ViewVitalSummonNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewVitalSummonNormal.cs
PLAN_v5.md	OK	VitalState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\VitalState.cs
PLAN_v5.md	OK	VVitalGlare.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\VVitalGlare.cs
PLAN_v5.md	OK	VVitalInk.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\VVitalInk.cs
PLAN_v5.md	OK	WantedEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\WantedEntity.cs
PLAN_v5.md	OK	WantedView.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\WantedView.cs
